PATENT_NO		TIME TO WRITE		WORDS ADDED BY FILE
Pat/2015/08932745 --- 74.40507520834605 minutes --- 525 new words added
Pat/2015/08932746 --- 148.83081134955088 minutes --- 517 new words added
Pat/2015/08932747 --- 223.26013082265854 minutes --- 293 new words added
Pat/2015/08932748 --- 297.70460743109385 minutes --- 738 new words added
Pat/2015/08932749 --- 372.1539699792862 minutes --- 161 new words added
Pat/2015/08932750 --- 446.62849576473235 minutes --- 677 new words added
Pat/2015/08932751 --- 521.1086280902226 minutes --- 114 new words added
Pat/2015/08932752 --- 595.5936071157455 minutes --- 88 new words added
Pat/2015/08932753 --- 670.0882200956345 minutes --- 179 new words added
Pat/2015/08932754 --- 744.6006537596385 minutes --- 287 new words added
Pat/2015/08932755 --- 819.1210253596306 minutes --- 99 new words added
Pat/2015/08932756 --- 893.6837169289589 minutes --- 315 new words added
Pat/2015/08932757 --- 968.2654552181561 minutes --- 211 new words added
Pat/2015/08932758 --- 1042.8696494023004 minutes --- 212 new words added
Pat/2015/08932759 --- 1117.4973054130871 minutes --- 214 new words added
Pat/2015/08932760 --- 1192.1429564793905 minutes --- 129 new words added
Pat/2015/08932761 --- 1266.802416408062 minutes --- 104 new words added
Pat/2015/08932762 --- 1341.4874132792154 minutes --- 165 new words added
Pat/2015/08932763 --- 1416.1844778219859 minutes --- 80 new words added
Pat/2015/08932764 --- 1490.9452444354692 minutes --- 363 new words added
Pat/2015/08932765 --- 1565.738810880979 minutes --- 156 new words added
Pat/2015/08932766 --- 1640.6161786754926 minutes --- 338 new words added
Pat/2015/08932767 --- 1715.5190131942431 minutes --- 121 new words added
Pat/2015/08932768 --- 1790.4380671739577 minutes --- 70 new words added
Pat/2015/08932769 --- 1865.4131143490474 minutes --- 237 new words added
Pat/2015/08932770 --- 1940.4105442643165 minutes --- 90 new words added
Pat/2015/08932771 --- 2015.5087666392326 minutes --- 379 new words added
Pat/2015/08932772 --- 2090.647773440679 minutes --- 143 new words added
Pat/2015/08932773 --- 2165.7985509435334 minutes --- 38 new words added
Pat/2015/08932774 --- 2241.005375615756 minutes --- 180 new words added
Pat/2015/08932775 --- 2316.2231956283254 minutes --- 33 new words added
Pat/2015/08932776 --- 2391.556582343578 minutes --- 283 new words added
Pat/2015/08932777 --- 2466.9869391997654 minutes --- 262 new words added
Pat/2015/08932778 --- 2542.44184277455 minutes --- 55 new words added
Pat/2015/08932779 --- 2617.908118887742 minutes --- 28 new words added
Pat/2015/08932780 --- 2693.389245959123 minutes --- 36 new words added
Pat/2015/08932781 --- 2769.0182929237685 minutes --- 342 new words added
Pat/2015/08932782 --- 2844.7213795900343 minutes --- 166 new words added
Pat/2015/08932783 --- 2920.466963950793 minutes --- 89 new words added
Pat/2015/08932784 --- 2996.2361150662105 minutes --- 47 new words added
Pat/2015/08932785 --- 3072.0633605043095 minutes --- 113 new words added
Pat/2015/08932786 --- 3148.1338697354 minutes --- 417 new words added
Pat/2015/08932787 --- 3224.3360918243725 minutes --- 235 new words added
Pat/2015/08932788 --- 3300.8907988826436 minutes --- 569 new words added
Pat/2015/08932789 --- 3377.6220479130743 minutes --- 276 new words added
Pat/2015/08932790 --- 3454.507647053401 minutes --- 231 new words added
Pat/2015/08932791 --- 3531.4826719999314 minutes --- 127 new words added
Pat/2015/08932792 --- 3608.7833422223725 minutes --- 448 new words added
Pat/2015/08932793 --- 3686.2385993679363 minutes --- 203 new words added
Pat/2015/08932794 --- 3764.062409333388 minutes --- 460 new words added
Pat/2015/08932795 --- 3842.124249505997 minutes --- 276 new words added
Pat/2015/08932796 --- 3920.291926018397 minutes --- 101 new words added
Pat/2015/08932797 --- 3998.6221119920415 minutes --- 180 new words added
Pat/2015/08932798 --- 4077.1378658453623 minutes --- 200 new words added
Pat/2015/08932799 --- 4155.8800860563915 minutes --- 238 new words added
Pat/2015/08932800 --- 4234.706486070156 minutes --- 84 new words added
Pat/2015/08932801 --- 4313.614955103398 minutes --- 77 new words added
Pat/2015/08932802 --- 4392.611760346094 minutes --- 85 new words added
Pat/2015/08932803 --- 4471.773447271188 minutes --- 157 new words added
Pat/2015/08932804 --- 4550.968220905463 minutes --- 30 new words added
Pat/2015/08932805 --- 4630.9335239013035 minutes --- 688 new words added
Pat/2015/08932806 --- 4711.208715128899 minutes --- 245 new words added
Pat/2015/08932807 --- 4791.8096196691195 minutes --- 262 new words added
Pat/2015/08932808 --- 4872.976466516654 minutes --- 452 new words added
Pat/2015/08932809 --- 4954.370830718676 minutes --- 176 new words added
Pat/2015/08932810 --- 5036.316662267844 minutes --- 413 new words added
Pat/2015/08932811 --- 5118.47294104894 minutes --- 152 new words added
Pat/2015/08932812 --- 5201.10184311072 minutes --- 331 new words added
Pat/2015/08932813 --- 5284.436515510082 minutes --- 474 new words added
Pat/2015/08932814 --- 5370.449595097701 minutes --- 1646 new words added
Pat/2015/08932815 --- 5457.167646630605 minutes --- 411 new words added
Pat/2015/08932816 --- 5544.8896409670515 minutes --- 551 new words added
Pat/2015/08932817 --- 5632.905012392997 minutes --- 159 new words added
Pat/2015/08932818 --- 5722.121420812607 minutes --- 633 new words added
Pat/2015/08932819 --- 5811.957919700941 minutes --- 315 new words added
Pat/2015/08932820 --- 5902.328435607751 minutes --- 263 new words added
Pat/2015/08932821 --- 5994.001671691735 minutes --- 625 new words added
Pat/2015/08932822 --- 6087.167994022369 minutes --- 683 new words added
Pat/2015/08932823 --- 6180.8681909561155 minutes --- 235 new words added
Pat/2015/08932824 --- 6275.200868749618 minutes --- 271 new words added
Pat/2015/08932825 --- 6371.253283353647 minutes --- 666 new words added
Pat/2015/08932826 --- 6467.5181199193 minutes --- 70 new words added
Pat/2015/08932827 --- 6565.025043344498 minutes --- 484 new words added
Pat/2015/08932828 --- 6665.190550223986 minutes --- 1003 new words added
Pat/2015/08932829 --- 6766.358937966824 minutes --- 352 new words added
Pat/2015/08932830 --- 6869.357479818662 minutes --- 613 new words added
Pat/2015/08932831 --- 6972.830108320713 minutes --- 157 new words added
Pat/2015/08932832 --- 7076.643196976185 minutes --- 111 new words added
Pat/2015/08932833 --- 7180.575875814756 minutes --- 37 new words added
Pat/2015/08932834 --- 7286.07600572904 minutes --- 497 new words added
Pat/2015/08932835 --- 7392.0220829765 minutes --- 140 new words added
Pat/2015/08932836 --- 7499.63145903349 minutes --- 513 new words added
Pat/2015/08932837 --- 7607.714133425554 minutes --- 142 new words added
Pat/2015/08932838 --- 7716.182477835814 minutes --- 111 new words added
Pat/2015/08932839 --- 7825.841790405909 minutes --- 344 new words added
Pat/2015/08932840 --- 7935.928488330046 minutes --- 121 new words added
Pat/2015/08932841 --- 8046.5804258306825 minutes --- 157 new words added
Pat/2015/08932842 --- 8157.6068131725 minutes --- 103 new words added
Pat/2015/08932843 --- 8269.041645228863 minutes --- 111 new words added
Pat/2015/08932844 --- 8381.457190303008 minutes --- 263 new words added
